ID;aemet_equipo_loc;aemet_lej;aemet_fecha;aemet_lugar;aemet_provincia;aemet_aemet_tmax;aemet_tmin;aemet_sol;aemet_presMax;aemet_presMin;aemet_prec;aemet_racha;aemet_dir;aemet_velmedia;aemet_aemet_tmax_vis;aemet_tmin_vis;aemet_sol_vis;aemet_presMax_vis;aemet_presMin_vis;aemet_prec_vis;aemet_racha_vis;aemet_dir_vis;aemet_velmedia_vis;
g_1_IJqMnu12;Espanyol;0;2017-10-13;BARCELONA AEROPUERTO;BARCELONA;25.3;18.2;9.5;1026.2;1024.6;0.0;6.1;99;2.8;26.5;14.7;9.6;1019.2;1016.2;0.0;7.8;06;2.2;
g_1_82s4vH8r;Atletico de Madrid;0;2017-10-14;MADRID, RETIRO;MADRID;26.5;14.5;NaN;949.7;946.2;0.0;4.7;20;1.1;24.9;18.5;5.6;1027.4;1025.2;0.0;9.2;05;4.2;
g_1_EoJuvmc2;Alaves;0;2017-10-14;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;26.8;8.3;10.2;966.1;963.5;NA;8.9;99;2.2;26.5;15.9;8.3;994.6;991.4;0.0;13.3;22;3.6;
g_1_G42PoaG8;Getafe;1;2017-10-14;MADRID, RETIRO;MADRID;26.5;14.5;NaN;949.7;946.2;0.0;4.7;20;1.1;26.5;14.5;NaN;949.7;946.2;0.0;4.7;20;1.1;
g_1_GSpCxewe;Athletic Club;1;2017-10-14;BILBAO AEROPUERTO;BIZKAIA;31.7;15.5;9.5;1020.8;1015.4;0.0;8.9;99;2.8;34.5;18.4;4.3;1020.3;1017.2;0.0;7.8;36;1.7;
g_1_zeKyuTsd;Real Betis;0;2017-10-15;SEVILLA AEROPUERTO;SEVILLA;35.7;16.9;10.4;1018.9;1014.8;0.0;8.3;22;1.7;25.6;16.4;8.6;1020.8;1018.0;0.0;7.2;99;1.9;
g_1_2Pt8wyOl;Malaga;0;2017-10-15;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;NaN;NaN;NaN;NaN;NaN;0.0;7.2;15;2.2;27.1;16.8;NaN;949.6;944.7;0.0;7.2;10;1.1;
g_1_lI0XqwoL;Girona;1;2017-10-15;GIRONA AEROPUERTO;GIRONA;26.6;11.4;10.0;1012.1;1009.7;NA;10.8;99;4.4;26.6;17.5;9.3;1022.8;1020.4;0.0;6.4;15;1.9;
g_1_AR1TpJVE;Eibar;1;2017-10-15;BILBAO AEROPUERTO;BIZKAIA;31.5;22.2;6.0;1018.0;1014.4;0.0;12.8;99;4.2;31.0;20.1;2.6;1010.5;1004.0;0.4;18.1;20;5.0;
g_1_6gexqc0R;Las Palmas;0;2017-10-16;GRAN CANARIA AEROPUERTO;LAS PALMAS;30.5;22.9;NaN;1016.8;1013.4;0.0;8.3;04;3.6;20.9;13.6;NaN;992.4;987.4;13.3;10.3;99;1.4;
g_1_zw1oifhl;Barcelona;0;2017-10-21;BARCELONA AEROPUERTO;BARCELONA;24.1;15.0;9.1;1022.3;1018.6;0.1;7.8;99;3.9;27.6;17.4;NaN;NaN;NaN;0.0;5.8;13;2.2;
g_1_W4ffkYM0;Valencia;0;2017-10-21;VALENCIA AEROPUERTO;VALENCIA;29.5;11.9;9.5;1015.1;1011.4;0.0;8.9;99;1.9;28.5;17.9;8.6;1021.0;1017.5;0.0;6.7;99;1.1;
g_1_bizHyFh1;Real Betis;0;2017-10-21;SEVILLA AEROPUERTO;SEVILLA;28.5;17.9;8.6;1021.0;1017.5;0.0;6.7;99;1.1;18.6;10.5;0.0;968.6;959.5;3.3;9.2;03;1.9;
g_1_4lN2aIp8;Levante;0;2017-10-21;VALENCIA AEROPUERTO;VALENCIA;29.5;11.9;9.5;1015.1;1011.4;0.0;8.9;99;1.9;21.8;12.3;NaN;948.3;944.9;0.0;6.7;32;1.1;
g_1_ruM6bx0E;Real Madrid;0;2017-10-22;MADRID, RETIRO;MADRID;17.9;10.8;NaN;950.5;947.3;0.0;6.4;04;0.8;16.4;10.4;0.2;1026.0;1023.5;1.9;11.7;32;2.2;
g_1_hEejjE7f;Leganes;1;2017-10-22;MADRID, RETIRO;MADRID;17.9;10.8;NaN;950.5;947.3;0.0;6.4;04;0.8;16.4;10.4;0.2;1026.0;1023.5;1.9;11.7;32;2.2;
g_1_dn2shzwr;Celta de Vigo;0;2017-10-22;VIGO AEROPUERTO;PONTEVEDRA;18.5;7.6;NaN;999.9;996.3;0.0;5.8;31;1.4;17.9;10.8;NaN;950.5;947.3;0.0;6.4;04;0.8;
g_1_v7FFdGUQ;Villarreal;0;2017-10-22;CASTELLÓN - ALMASSORA;CASTELLON;23.3;15.1;7.7;1020.5;1017.1;0.0;7.8;34;1.9;25.4;20.6;NaN;1017.1;1013.9;NA;13.3;03;7.2;
g_1_Q3BBcdFK;Deportivo de La Coruna;0;2017-10-23;A CORUÑA;A CORUÑA;19.5;9.1;9.9;1020.1;1015.9;0.0;3.9;17;2.2;21.7;8.4;9.8;1009.7;1007.1;0.0;5.0;07;0.6;
g_1_xrZKzZ77;Real Sociedad;0;2017-10-23;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;17.1;9.5;9.1;997.6;995.7;0.0;6.7;07;3.1;21.3;13.1;6.6;1025.2;1022.0;0.0;15.0;36;4.7;
g_1_ILIy2B66;Sevilla;0;2017-10-28;SEVILLA AEROPUERTO;SEVILLA;31.6;12.9;10.3;1018.5;1015.0;0.0;10.3;07;3.3;22.0;12.0;NaN;949.5;946.0;0.0;6.7;04;1.4;
g_1_vVJX2ii0;Athletic Club;1;2017-10-28;BILBAO AEROPUERTO;BIZKAIA;19.2;9.1;0.2;1028.2;1024.8;NA;6.7;99;1.1;23.2;15.0;6.4;1024.5;1021.1;0.0;8.3;99;3.9;
g_1_W4GP4DMm;Atletico de Madrid;0;2017-10-28;MADRID, RETIRO;MADRID;22.0;12.0;NaN;949.5;946.0;0.0;6.7;04;1.4;24.2;15.0;10.1;1020.2;1017.5;0.0;5.8;28;1.9;
g_1_QRgblhx7;Alaves;0;2017-10-28;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;16.4;3.5;0.8;972.2;968.7;0.0;8.9;35;3.1;25.1;12.9;8.9;1018.4;1015.2;0.0;8.3;99;2.2;
g_1_p8KT3Xyf;Malaga;0;2017-10-29;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;25.7;16.2;NaN;1017.4;1012.2;0.0;5.0;14;1.9;25.3;12.0;NaN;995.3;991.1;0.0;5.8;04;1.4;
g_1_IczkBFqK;Eibar;1;2017-10-29;BILBAO AEROPUERTO;BIZKAIA;15.6;8.1;0.1;1025.1;1020.2;10.8;5.8;02;0.6;23.1;11.6;9.9;1015.5;1010.0;0.0;7.2;05;1.4;
g_1_nXvgAZbQ;Girona;1;2017-10-29;GIRONA AEROPUERTO;GIRONA;25.2;7.6;9.6;1006.3;1000.3;0.0;NaN;NaN;2.2;21.5;10.0;NaN;947.0;942.2;0.0;8.3;99;0.8;
g_1_v7yoCeUD;Getafe;1;2017-10-29;MADRID, RETIRO;MADRID;21.5;10.0;NaN;947.0;942.2;0.0;8.3;99;0.8;15.5;10.6;2.3;998.3;993.3;7.4;9.2;35;2.8;
g_1_x2c2mCiD;Espanyol;0;2017-10-30;BARCELONA AEROPUERTO;BARCELONA;21.3;12.4;8.8;1019.8;1015.3;4.4;10.8;99;3.9;26.7;10.9;7.2;1013.4;1009.9;0.0;5.0;34;1.1;
g_1_ltRK5g7s;Las Palmas;0;2017-10-30;GRAN CANARIA AEROPUERTO;LAS PALMAS;25.0;18.1;NaN;1011.7;1009.2;0.0;11.4;02;6.1;18.1;14.3;3.4;1018.0;1013.4;0.0;12.2;05;4.7;
g_1_OYmx0kyJ;Real Betis;0;2017-11-03;SEVILLA AEROPUERTO;SEVILLA;19.2;16.2;0.9;1011.7;1008.9;17.0;5.8;23;1.4;18.6;11.8;NaN;938.9;935.0;3.7;6.1;17;0.8;
g_1_0Io92rcH;Barcelona;0;2017-11-04;BARCELONA AEROPUERTO;BARCELONA;23.2;15.6;3.6;1013.1;1008.6;4.9;10.8;01;4.4;22.0;15.2;6.6;1015.6;1008.1;4.1;11.4;26;3.3;
g_1_prkY0VLC;Alaves;0;2017-11-04;VITORIA GASTEIZ AEROPUERTO;ARABA/ALAVA;14.5;2.4;0.1;958.5;951.5;3.8;7.8;34;1.1;23.2;15.6;3.6;1013.1;1008.6;4.9;10.8;01;4.4;
g_1_AThd5pDb;Deportivo de La Coruna;0;2017-11-04;A CORUÑA;A CORUÑA;17.4;13.3;1.9;1017.2;1002.6;0.4;14.2;36;3.6;14.6;11.0;NaN;939.6;934.0;0.2;6.1;20;0.8;
g_1_ChkD12CN;Valencia;0;2017-11-04;VALENCIA AEROPUERTO;VALENCIA;22.5;12.7;4.9;1006.4;1002.8;0.0;10.3;26;3.6;14.6;11.0;NaN;939.6;934.0;0.2;6.1;20;0.8;
g_1_Wxfh6Qch;Real Madrid;0;2017-11-05;MADRID, RETIRO;MADRID;14.9;9.0;NaN;946.4;939.6;0.0;7.5;06;1.7;24.9;19.7;NaN;1015.4;1012.2;0.0;13.3;02;6.7;
g_1_zB0q8nTu;Real Sociedad;0;2017-11-05;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;13.9;9.6;1.2;994.3;986.0;12.2;22.8;02;6.9;14.5;10.1;0.7;1022.7;1014.3;24.7;14.4;35;2.2;
